Name,Wikidata Identifier,Wikipedia Article,Gender,Year of Birth,Year of Death,Place of Birth,Place of Death
Gesina ter Borch,Q1519218,"Gesina of Geesken ter Borch (Deventer, 15 november 1631 ? gedoopt Zwolle 13 december 1631 - Zwolle, 16 april 1690) was een Nederlandse kunstenares en schrijfster van alledaagse scènes. Ze was het tweede kind uit het derde huwelijk van haar vader Gerard ter Borch (I) en Wiesken Matijs. Gesina was de (half)zus van Gerard ter Borch (II) en Moses ter Borch.  Gesina kwam uit een gezin waarin de artistieke opvoeding sterk naar voren kwam. Niet alleen haar vader Gerard ter Borch I, maar ook haar halfbroer Gerard ter Borch II en haar broers Harmen en Moses ter Borch maakten tekeningen die zij vervolgens in albums archiveerde. Bovendien stond Gesina met regelmaat model voor werken van haar broer Gerard. Zo is zij te zien op de volgende schilderijen:  Ze heeft haar hele leven in het ouderlijk huis in de Sassenstraat in Zwolle gewoond. Ter Borch was bevriend met Henk Jordis, een Amsterdamse koopman, maar of er een liefdesrelatie bestond is niet bekend.  Gesina ter Borch was geen beroepskunstenaar. Ze verzamelde bestaande, maar ook eigenhandig geschreven gedichten en liederen bestemd voor poëzie-albums en liedboeken. Ze illustreerde deze met alledaagse scènes. Zo schilderde ze vechtende of liefkozende paartjes, wordt er gedronken en gerookt ter illustratie bij een drinklied. Ter Borch werkte ook samen met haar broer Gerard aan het postume portret van hun vroeg gestorven broer Moses. In 2024 kocht het Rijksmuseum in Amsterdam een tweede postume olieverfportret van Moses aan, gemaakt door Gesina alleen, van haar broertje op 2-jarige leeftijd, omringd door speelgoed dat vooruitwijst naar zijn latere dood op het slagveld.   Er zijn drie albums bekend van Gesina: een album met schoonschrift, Materi-boeck (1648); een liedboek De papiere Laure Krans (1652-1660) en een aquarel- en plakboek, Kunstboek (vanaf 1660). Het Materi-boeck was het oefenboekje dat ter Borch vulde met zelfgemaakte tekeningen.   Ter Borch nam het beheer van de familiecollectie tekeningen en documenten van haar vader over. Voor haar dood droeg ze dat over aan haar zus. De collectie bleef in de familie tot 1886. Op de veiling van Frederik Muller kocht de Vereniging Rembrandt het belangrijkste deel aan en schonk dit aan het Rijksmuseum (Rijksprentenkabinet) in Amsterdam. Daardoor bestaat er een goed inzicht in de werkmethoden, wijzen van onderricht, smaak van verzamelen en reacties op eigentijdse kunst van een kunstzinnige, welgestelde familie uit de Gouden Eeuw.",female,1631,1690,Zwolle,Zwolle
Moses ter Borch,Q1949233,"Moses ter Borch (19 juni 1645 te Zwolle - 12 juli 1667 te Harwich) was een Nederlands kunstschilder en tekenaar.  Hij was de zoon van Gerard ter Borch (I) en de jongere broer van Gerard ter Borch (II). Van zijn vader leerde hij tekenen. Hij schilderde een serie van kwalitatief hoogwaardige portretstudies, waaruit bleek dat hij een zeer getalenteerde schilder en tekenaar was die nauwelijks onderdeed voor zijn broer Gerard. Hij was een van de leermeesters van zijn zus Gesina ter Borch.  Toen hij bijna twintig jaar oud was monsterde hij aan bij de Nederlandse marine. Hij raakte op 2 juli 1667 gewond tijdens het gevecht om Fort Landguard. Mozes stierf tien dagen later aan zijn verwondingen.",male,1645,1667,Zwolle,Harwich
Johannes Borman,Q2416306,"Johannes Borman (Den Haag, ca. 1620 - Amsterdam, na 1659) was een Nederlands kunstschilder uit de periode van de Gouden Eeuw. Hij vervaardigde stillevens met bloemen, vruchten en vanitas-elementen.  Over het leven van Borman is weinig met zekerheid bekend. Zijn geboortedatum wordt volgens het RKD gesteld tussen 1620 en 1625. In de periode 1653 tot 1658 was hij actief in Leiden, waar hij lid was van het plaatselijke Sint-Lucasgilde. In 1659 wordt hij vermeld als burger van Amsterdam.",male,1620,1679,Leiden,Amsterdam
Pieter Borsseler,Q645235,"Pieter Borsseler of Pieter Borselaer (Middelburg, 1633/34 - aldaar, na 1687) was een Nederlandse portretschilder uit de Gouden Eeuw, die ook actief was in Engeland.  Borsseler werd geboren in 1633 of 1634 te Middelburg als zoon van Cornelis Pieters Borselaer (1612-) en Catelijntje Cornelis. Via zijn vader afstammeling van het Nederlandse patriciërsgeslacht Bostelaar uit Middelburg. Hij was een leerling van Thomas Willeboirts Bosschaert tussen 1651 en 1654 in Antwerpen. Hij keerde uiteindelijk terug naar Middelburg, maar verbleef tussen 1665 en 1679 in Groot-Brittannië. In 1681 zou hij in Den Haag zijn en vanaf 1684 verbleef hij weer in Middelburg.  Het vroegst bekende gedateerde werk van Borsseler komt uit 1664, dit is een portret van een dame dat te zien is in het Rijksmuseum Amsterdam. Zijn eerste gesigneerde werk is echter een portret van de wetenschapper William Dugdale (1605 - 1686) uit 1665.  Borsseler portretteerde ook de dichter Samuel Butler, te zien in het National Portrait Gallery. Waarschijnlijk schilderde Borsseler ook het zogenaamde Chesterfieldportret van William Shakespeare, gebaseerd op het bekendere Chandosportret. Beide portretten zijn gemaakt in 1665.  Borsselers stijl lijkt het meeste op die van zijn Brits-Nederlandse collega-schilder Gerard Soest, die toevallig ook een portret van Butler en Shakespeare schilderde.",male,1633,1687,Middelburg,Middelburg
Anthonie van Borssom,Q572610,"Anthonie van Borssom, Borssom ook gespeld als Borsom, Boresom en Borssum (gedoopt Amsterdam, 2 januari 1631 – begraven aldaar, 19 maart 1677) was een Nederlands kunstschilder en tekenaar.  Er is niet veel bekend van zijn leven. Waarschijnlijk was hij een leerling van Rembrandt. Een deel van Van Borssoms tekeningen zijn beïnvloed door etsen van Rembrandt uit de jaren 40. Zijn schilderijen hebben vaak een vaste opbouw, bestaande uit een waterpartij op de voorgrond, vee, eventueel met een boerderij of een windmolen in het midden en een dorpje aan een lage horizon. Hij tekende kastelen, kerken en plaatsen, die hij tijdens zijn reizen door Utrecht en Gelderland tegenkwam. Bekend van Van Borssom zijn aanzichten van Naarden, Soest, Maartensdijk, Oosterbeek, Elten en Kleef. Van Borssom is begraven in de Westerkerk in Amsterdam.",male,1631,1677,Amsterdam,Amsterdam
Jasper van den Bos,Q6164101,"Jasper van den Bos (Hoorn, 1634 – ca. 1656) was een Noord-Nederlands kunstschilder uit de 17e eeuw, gespecialiseerd in maritieme onderwerpen.  Van den Bos, ook bekend als Gasper van den Bosch, stamde uit een familie van scheepsbouwers. Zijn vader was scheepstimmerman, een vak dat Jasper mogelijk van hem heeft geleerd. Naast zijn werk in de scheepsbouw ontwikkelde hij zich als getalenteerd pentekenaar en schilder. Zijn artistieke werk richtte zich vooral op maritieme voorstellingen, zoals zeegezichten, schepen, havens en scheepsbouw. Deze thema's waren populair in de Nederlandse Gouden Eeuw, waarin de zeevaart een centrale rol speelde in de samenleving en economie.  Jaspers werken dateren uit de periode 1650-1656, en hij was voornamelijk actief in zijn geboortestad Hoorn.",male,1634,1656,Hoorn,
Abraham Bosschaert,Q2821813,"Abraham Bosschaert (Middelburg, 1612 of 1613 - Utrecht, begr. 4 april 1643) was een Nederlands kunstschilder. Hij vervaardigde landschappen en vooral bloem- en vruchtenstillevens.  Bosschaert was een zoon van Maria van der Ast en Ambrosius Bosschaert de Oude en de jongste broer van Ambrosius Bosschaert de Jonge en Johannes Bosschaert. De laatste twee leidden hem op in het vak en verdere scholing onderging hij bij zijn oom Balthasar van der Ast in Utrecht. Al deze schilders werkten in hetzelfde genre, zoals dat was ingezet door vader Ambrosius. Het werk van Abraham en de jonge Ambrosius toonde zoveel gelijkenis dat zij slechts door middel van hun signering van elkaar konden worden onderscheiden. De eerder als 'Monogrammist AB' bekendstaande Abraham Bosschaert werd pas in 1992 geïdentificeerd.  Van 1637 tot 1643 woonde de schilder in Amsterdam. Kort voor zijn dood keerde hij terug naar Utrecht, waar hij in april 1643 overleed.",male,1612,1643,Middelburg,Utrecht
Ambrosius Bosschaert,Q459665,"Ambrosius Bosschaert de Oude (Antwerpen, november 1573 - Den Haag, 1621) was een kunstschilder van bloemstillevens, afkomstig uit Antwerpen, werkzaam in Middelburg, Utrecht en Breda.  Kort na 1587 verhuisde Bosschaerts gezin naar Middelburg om godsdienstige redenen. Hij werd stillevenschilder en kunsthandelaar. In 1604 trad hij in het huwelijk. In Middelburg onderwees hij zijn zwager Balthasar van der Ast, die eveneens een succesvol schilder van bloemstillevens werd. Kort na 1611 verliet hij Middelburg, woonde van 1615 tot 1619 in Utrecht en vestigde zich ten slotte in Breda. Hij overleed in Den Haag toen hij een bloemstilleven kwam afleveren aan een bediende van prins Maurits. Zijn zoons Ambrosius, Johannes en Abraham traden in de voetsporen van hun vader.  Bosschaert introduceerde een nieuw type bloemstilleven, waarin de bloemen worden weergegeven met een botanische precisie. Zijn composities en kleurgebruik zijn perfect afgewogen. Afgezien van Van der Ast, schilderde zijn zoon Ambrosius de Jonge in zijn stijl.",male,1573,1621,Antwerp,The Hague
Ambrosius Bosschaert II,Q2251965,"Ambrosius Bosschaert de Jonge, ook wel aangeduid als Ambrosius II (Arnemuiden, ged. 1 maart 1609 - Utrecht, begr. 19 mei 1645) was een Nederlands kunstschilder. Hij vervaardigde bloem-, vruchten- en vanitasstillevens.  Bosschaert was een zoon van Maria van der Ast en Ambrosius Bosschaert de Oude en de oudste broer van Johannes Bosschaert en Abraham Bosschaert. Hij werd opgeleid in het vak door zijn vader en zijn oom Balthasar van der Ast. Al deze schilders werkten in hetzelfde genre, zoals dat was ingezet door vader Ambrosius.  De schilder gebruikte aanvankelijk het monogram van zijn vader, waardoor het moeilijk was zijn werk te onderscheiden van dat van zijn vader en van zijn broer Abraham. Zijn vroegere werk kon pas in 1935 als het zijne worden geïdentificeerd. Na 1633 gebruikte hij een ander monogram of ondertekende met zijn volledige naam.  Hij vestigde zich rond 1628 in Utrecht, waar hij in 1634 in het huwelijk trad. Hij overleed er in mei 1645.",male,1609,1645,Middelburg,Utrecht
Andries Both,Q510472,"Andries Both (Utrecht, 1612 of 1613 – Venetië, 23 maart 1642) was een Nederlands kunstschilder.  Andries Both was de broer van Jan Both. Beiden kregen schilderles van hun vader, die glasschilder was, en werden vervolgens in de leer gedaan bij Abraham Bloemaert. De beide broers vertrokken – samen of kort na elkaar – rond 1632 naar Italië, waar Andries eerst in Venetië wordt vermeld, en vanaf 1636 in Rome, waar hij lid werd van de Bentvueghels, een vereniging van voornamelijk Nederlandse en Vlaamse kunstenaars werkzaam in Rome. Hij deelde een atelier met de Utrechter Jan van Causteren, en later met zijn broer Jan. Terwijl de broers gezamenlijk op de terugweg naar Nederland waren, verdronk Andries in Venetië.  Andries Both schilderde en tekende voornamelijk genretaferelen van onder meer boeren in een herberg. Zijn werk sluit aan bij dat van Adriaen Brouwer en Adriaen van Ostade, en is in dezelfde vlotte wijze geschilderd. Zijn kleurgebruik is minder helder, maar hij besteedde extra aandacht aan licht- en donkercontrasten. Hij was ook goed in het schilderen van dieren. Hij maakte ook samen met zijn broer schilderijen: Jan schilderde dan het landschap, Andries stoffeerde het met menselijke figuren en met dieren.  Werken van Andries Both in openbare collecties, zijn te zien in:",male,1612,1642,Utrecht,Venice
Jan Both,Q981631,"Jan Both (Utrecht, tussen 1618 en 1622 - Utrecht, begraven 9 augustus 1652) was een Noord-Nederlandse kunstschilder, tekenaar en prentmaker, die gerekend wordt tot de tweede generatie italianisanten. Hij was de jongere broer van Andries Both.  Jan Both was een zoon van glasschilder Dirk Both. Wanneer hij precies geboren werd is onbekend. Van 1634 tot 1637 betaalde zijn vader lesgeld voor hem aan een onbekende schilder. Aangenomen wordt dat hij aan het begin van die periode tussen de 12 en 16 jaar oud was. Volgens Joachim von Sandrart was hij een leerling van Abraham Bloemaert, evenals zijn broer Andries. De twee broers trokken naar Italië, waar Andries vanaf 1635 vermeld wordt, en Jan vanaf 1638. Twee laar lang bewoonden ze samen een huis in Rome. Jan en Andries werden er lid werd van de Bentvueghels, een broederschap van voornamelijk Noord- en Zuid-Nederlandse kunstenaars werkzaam in Rome.  In 1641 reisden ze naar Venetië, waar Andries in maart 1642 stierf. Jan keerde terug naar Utrecht en werd daar lid van het schildersgilde. Hij leidde een aantal andere schilders op, en werd gesteund door de Utrechtse verzamelaar baron van Wyttenhorst. Na zijn dood in 1652 werd hij begraven in de Buurkerk.  Net als een groep andere Nederlandse schilders in Italië (vooral afkomstig uit Utrecht en Haarlem) schilderde Both uitsluitend Italiaans aandoende landschappen. Zij worden daarom wel Italianisanten genoemd. Een gouden zon schijnt door het gebladerte van een heuvelachtig landschap, gestoffeerd met enkele figuurtjes. Het schilderen van deze figuurtjes liet hij overigens vaak over aan anderen. In Italië was dat zijn broer Andries, terug in Utrecht waren het Cornelis van Poelenburch, Nicolaus Knüpfer en Jan Baptist Weenix. Hij gaf ook anderen les in de Italiaanse lichtval, zoals aan de Dordtse schilder Aelbert Cuyp.",male,1618,1652,Utrecht,Utrecht
Esaias Boursse,Q2354154,"Esaias Boursse (Amsterdam, 3 maart 1631- aan boord van het schip ""Rhenen"", 16 november 1672) was een Nederlandse kunstschilder die voornamelijk genrestukken schilderde.  Het oeuvre van Boursse behelst voor het overgrote deel genrestukken met huiselijke thema's. Vrouwen aan het spinnewiel of aan hun naaiwerk en gezinnen rond het haardvuur zijn voorbeelden van wat men zich daarbij voor moet stellen. Stilistisch doet het werk wel denken aan Pieter de Hooch, Quiringh van Brekelenkam en Cornelis de Man. In het verleden hebben kunsthistorici hem onder de leerlingen van Rembrandt geschaard. Hiervoor is geen enkel objectief bewijs. Wellicht was deze mening geïnspireerd door het feit dat beide schilders in de Sint Antoniebreestraat woonden.  Het leven van Boursse is het verhaal van een schilder die niet rond kon komen van zijn schilderwerk alleen en dus een alternatieve bron van inkomsten moest zoeken. Dat hij daarin bepaald geen uitzondering was, bewijzen de levens van bijvoorbeeld Jan Steen (die ook herbergier was) en Johannes Vermeer (die ook kunsthandelaar was). Een groot verschil is dat Steen en Vermeer een (groot) gezin te onderhouden hadden en Boursse alleen gebleven lijkt te zijn. In financieel opzicht is Boursses schilderscarrière dus niet geslaagd.   Hij was de jongste zoon van immigranten uit Wallonië. Zijn ouders, Jacques Boursse en Anna des Forest trouwden in 1618 in Amsterdam. Van de opleiding van Esaias Boursse weten we niets meer dan dat hij rond 1650 een reis naar Italië heeft gemaakt om daar de grote renaissancevoorbeelden te bekijken. Van deze voorbeelden is weinig tot niets in zijn werk terug te vinden.   Economisch zal het Boursse niet voor de wind zijn gegaan, want in 1661 monsterde hij aan bij de Verenigde Oostindische Compagnie, op het schip ""Amersfoort"". De reis ging naar Ceylon (tegenwoordig Sri Lanka). Boursse tekende er inwoners, landschappen en stadsgezichten, die bewaard zijn gebleven in een album dat zich in het Rijksprentenkabinet van het Rijksmuseum Amsterdam bevindt. In 1663 was de schilder weer terug in Amsterdam.  In 1672 ging Boursse opnieuw op reis met de VOC. Op 24 oktober vertrok het schip ""Rhenen"" van de rede van Texel. Op 16 november overleed Boursse op hoge zee.  Van het oeuvre van Boursse zijn ongeveer 28 schilderijen overgeleverd. Daarvan bevindt het merendeel zich in privécollecties.  Goede voorbeelden zijn onder andere te vinden in het Museum Boijmans Van Beuningen te Rotterdam, Het Suermondt-Ludwig-Museum in Aken, de Gemäldegalerie in Berlijn en de Frits Lugt-collectie (Fondation Custodia) in Parijs.",male,1631,1672,Amsterdam,Amsterdam
Richard Brakenburgh,Q576178,"Richard Mennesz. Brakenburg of Brakenburgh (Haarlem, 22 mei 1650 – aldaar, 28 december 1702) was een Nederlands kunstschilder behorend tot de Hollandse School. Hij was vooral een genreschilder, maar liet ook historiestukken, landschappen en portretten na.  Brakenburg werd geboren in Haarlem als dertiende uit een gezin van veertien kinderen van een oorspronkelijk Oost-Friese familie. Hij was van 1670 tot 1687 woonachtig en actief in Leeuwarden en keerde in 1687 terug naar zijn geboortestad Haarlem. Hij leerde volgens Arnold Houbraken het vak van Frederick Mommers en de Haarlemse schilder Adriaen van Ostade. Als genreschilder was hij een trouwe navolger van Jan Steen. Ook maakte hij bescheiden naam als portretschilder en als dichter. In Leeuwarden was hij mogelijk leermeester van de Friese schilder van zeegezichten Wigerus Vitringa.  Werken van Brakenburg hangen onder andere in het Rijksmuseum in Amsterdam (zie afbeelding), het Mauritshuis in Den Haag en het Szépművészeti Múzeum in Boedapest.",male,1650,1702,Haarlem,Haarlem
Leonaert Bramer,Q979381,"Leendert of Leonard Bramer (Delft, 24 december 1596 – begraven aldaar, 10 februari 1674) was een Nederlands kunstschilder, ontwerper en een van de weinige Nederlandse frescoschilders. Hij is in zijn stijl beïnvloed door Adam Elsheimer en Caravaggio. Zijn Italiaanse bijnaam was Leonardo della Notte vanwege de vele nachttaferelen.  Van zijn ouders of jeugd is niets bekend. In 1614, op 18-jarige leeftijd, begon hij een lange reis via Arras, Amiens, Parijs om in februari 1616 aan te komen in Aix-en-Provence. Daar ontmoette hij Wybrand de Geest en maakte een gedicht op hem. Vervolgens reisde hij via Marseille, Genua en Livorno naar Rome, waar hij later dat jaar aankwam. Bramer trok in bij de Goudse kunstenaar Wouter Crabeth II. In Rome was hij een van de oprichters van de Bentvueghels, een schildersgenootschap. Bij zijn initiatie kreeg hij de bijnaam Nestelghat. Bramer maakte ook uitstapjes naar Mantua en Venetië, naar verluidt om goederen af te leveren. Bramer bleef tot oktober 1627 in Italië.  Tegen het jaar 1628 was hij weer terug in Delft, waar hij toegelaten werd tot het plaatselijke Sint-Lucasgilde. In 1629 sloot hij zich aan bij de schutterij. Bramer is waarschijnlijk nooit getrouwd en ook niet als getuige opgetreden.  Bramer had een voorliefde voor drama en schilderde wel dertig keer De besnijdenis van Christus. Onder zijn Nederlandse opdrachtgevers bevonden zich leden van het huis Oranje, waaronder prins Frederik Hendrik, en de plaatselijke burgemeesters en schepenen. Hij ontwierp wandtapijten en maakte muur- en plafondschilderingen. De fresco's voor Huis Honselaarsdijk, Huis ter Nieuburch en het Delftse Prinsenhof zijn vanwege sloop of het Nederlandse klimaat niet bewaard gebleven.  In 1648 reisde hij opnieuw naar Rome. In 1653 was hij terug en verdedigde hij Johannes Vermeer toen de moeder van Vermeers toekomstige echtgenote probeerde te voorkomen dat Vermeer haar dochter trouwde. (Maria Thins stemde toe nadat Vermeer had beloofd katholiek te worden). Sommigen zien dat als aanwijzing dat Vermeer ooit Bramers leerling was, hoewel hun werkwijze en onderwerpen aanzienlijk verschillen. Het werk van Leonard Bramer is te zien in het Groninger Museum en bij Museum Bredius.  Salomon Lilian (2007) Old masters, p. 12.",male,1596,1674,Delft,Delft
Dirck de Bray,Q1911486,"Dirck de Bray (Haarlem, ca. 1635 - Goch, 1694) was een Nederlands kunstschilder, tekenaar, houtsnijder, boekbinder en prentkunstenaar uit de periode van de Gouden Eeuw.   De Bray werd geboren in een kunstenaarsgezin. Zijn vader en leermeester was Salomon de Bray, zijn broers waren Jan, Jacob en Joseph de Bray. Hun moeder Anna Westerbaen was een zuster van de schilder Jan Westerbaen en de dichter-dominee Jacob Westerbaen. Hun zuster Cornelia trouwde in 1648 met de schilder Jan Lievens.  Dirck De Bray ging in 1651 in de leer bij de Haarlemse boekbinder en -handelaar Passchier van Wesbusch, waar hij zich grafische technieken en de prentkunst meester maakte. Hij was tevens een voortreffelijk houtsnijder en vervaardigde onder meer een borstbeeld van zijn vader. Als schilder maakte hij voornamelijk bloemstillevens in water- en olieverf.  In 1671 werd hij lid van het Haarlemse Sint-Lucasgilde, waarvan hij ook secretaris werd. Rond 1680 nam hij als lekenbroeder zijn intrek in het klooster Gaesdonck bij Goch, waar hij in 1694 overleed. Werk van De Bray bevindt zich onder meer in het Haagse Mauritshuis en in het Rijksmuseum Amsterdam.",male,1635,1694,Haarlem,Goch
Jan de Bray,Q541789,"Jan de Bray (Haarlem, ca. 1627 - Amsterdam, april 1697) was een Nederlands kunstschilder. Hij was een zoon van de schilder en architect Salomon de Bray en in Haarlem de opvolger van Frans Hals. De dichter Jacob Westerbaen was zijn oom. Dirck de Bray, zijn broer, was boekbinder, etser en houtsnijder; Joseph de Bray legde zich toe op het schilderen van bloem- en visstillevens. Hun zuster Cornelia de Bray trouwde in 1648 met Jan Lievens.  Er is niet veel bekend over het leven van Jan de Bray. In 1663 en 1664 had de pest grote gevolgen voor zijn familie. Jan de Bray was ook onfortuinlijk in het huwelijk. Hij trouwde met Maria de Hees, met Margaretha de Meyer en met Victoria Maria Magdelana Stalpaert van der Wielen. Telkens is zijn vrouw binnen twee jaar overleden.  In 1672 trouwde Jan de Bray met Margaretha de Meijer, de weduwe van een Pommerse juwelier in de Sint Antoniesbreestraat. De Bray woonde op de Bakennessergracht en had een zoon uit het vorige huwelijk. Het echtpaar trouwde in de Sint Anna, een rooms-katholieke schuilkerk die door zijn vader was ontworpen. Een jaar later werd zij met grote praal begraven in de Grote of Sint-Bavokerk. In 1680 stierven zowel zijn derde echtgenote als zijn zoon.  Jan de Bray was een schilder van portretten en historiestukken. Hij is - samen met Caesar van Everdingen - de voornaamste vertegenwoordiger van het Hollands classicisme in de schilderkunst. Hij was hoofdman van het plaatselijke Sint-Lucasgilde en schilderde voor het stadhuis in Haarlem drie schoorsteenstukken. Hij maakte een dubbelportret van het echtpaar Margaretha van Bancken en Abraham Casteleyn. Mogelijk ontwierp hij als architect de Doopsgezinde kerk in Haarlem in 1682. In 1688 leverde hij plannen voor de zoetwatervoorziening van Amsterdam in samenwerking met Nicolaes Witsen. In 1689 werd hij failliet verklaard. In 1692 verhuisde hij naar de Lindengracht in de Jordaan.  Moltke, G.W., 'Jan de Bray', in: Haerlem, Jaarboek 1937, p. 33-59.",male,1627,1697,Haarlem,Amsterdam
Joseph de Bray,Q1708311,"Joseph de Bray (overleden Haarlem, 16 mei 1664) was een Nederlands kunstschilder en tekenaar uit de periode van de Gouden Eeuw. Zijn geboorteplaats en -datum zijn niet met zekerheid bekend. Het RKD vermeldt Haarlem als zijn waarschijnlijke geboorteplaats en stelt zijn geboortejaar op grond van bronnen vast tussen 1628 en 1634.  De Bray werd geboren in een kunstenaarsgezin. Zijn vader en leermeester was Salomon de Bray, zijn broers waren Jan, Jacob en Dirck de Bray. Hun zuster Cornelia de Bray trouwde in 1648 met de schilder Jan Lievens.  Evenals zijn broer Jan legde Joseph zich toe op het schilderen van stillevens, met name van bloemen en vis. Er zijn overigens niet veel werken bekend die vooralsnog met volledige zekerheid aan hem kunnen worden toegeschreven.  Tot zijn bekendste werken behoort het hier afgebeelde schilderij Lof van den Pekelharingh. Het toont een in mootjes gesneden haring, beboterd brood, een schaal met boter, uien en een karaf met bier en bijbehorende glazen. Het meest in het oog springend is echter de weergave van een afbeelding van het eveneens met haring en uien omrande gedicht ter ere van de pekelharing.   Het gedicht was van de hand van zijn oom, de dichter, arts en predikant Jacob Westerbaen uit diens bundel Minne-Dichten (in de uitgave van 1633) en zong de lof van de haring, die evenals de kabeljauwvangst stevig bijdroeg aan de welvaart van de Nederlanden in de 17e eeuw. Het gedicht zoals weergegeven op het schilderij eindigt overigens met de enigszins scabreuze tekst: Maeckt dat men ook wel pist / En dat u niet en mist / (Met oorelof) het kacken; / Geen winden laet hij rust / Hij doet de maegh met lust / Naer spijs en drincke snacken.  Een schilderij met dezelfde titel en hetzelfde thema uit 1657 bevat eveneens de tekst van het gedicht, ditmaal weergegeven in een opengeslagen boek en vergezeld van een ander gedicht van dezelfde auteur, getiteld Verhuysinge van Cupido. Dit werk bevindt zich in het Suermondt-Ludwig-Museum in Aken.  Joseph de Bray overleed in 1664 in Haarlem aan de gevolgen van de pest.",male,1630,1664,Haarlem,Haarlem
Salomon de Bray,Q541736,"Salomon de Bray (Amsterdam, 1597 - Haarlem, 11 mei 1664) was een Nederlands kunstschilder en architect.  Salomon de Bray vestigde zich vóór 1617 in Haarlem, waar hij geleerd zou hebben bij Hendrick Goltzius en Cornelis van Haarlem, en waar hij in 1625 in het huwelijk trad. Hij stierf waarschijnlijk aan de pest, en werd in de Sint-Bavo begraven. Drie van zijn tien kinderen werden ook schilder, Jan, Dirck en Joseph de Bray.  Salomon de Bray schilderde zowel historiestukken als portretten en landschappen. Als katholiek vervaardigde hij waarschijnlijk altaarstukken voor schuilkerken. Hij werkte mee aan de decoratie van het Huis ten Bosch in Den Haag. Zijn werken ademen de geest van het opkomende Hollands classicisme, en zijn te vergelijken met die van Pieter de Grebber.  Behalve schilder was Salomon de Bray ook actief als ontwerper van zilverwerk, als dichter, als architect en als stedenbouwkundige. Als architect was hij betrokken bij de bouw of verbouw van het stadhuis, de Zijlpoort, de St. Annakerk, allen in Haarlem, het kasteel in Warmond en het burgerweeshuis in Nijmegen.  Salomon de Bray was bevriend met de componist Cornelis Padbrué, die een gedicht van hem op muziek zette.  Van 2 februari tot en met 22 juni 2008 was de tentoonstelling 't Zit in de genen in het Frans Hals Museum in Haarlem te zien met werken van onder andere Salomon de Bray.  Een bekend schilderij van Salomon de Bray is de ingebakerde baby's De tweeling Clara en Aelbert de Bray uit 1646.",male,1597,1664,Amsterdam,Haarlem
Bartholomeus Breenbergh,Q809318,"Bartholomeus Breenbergh (Deventer, 13 november 1598 (doop) – Amsterdam, 15 oktober 1657 (begrafenis)) was een Nederlands kunstschilder.  Breenbergh vestigde zich in Amsterdam en trok vervolgens in 1619 naar Rome.  Daar deelde hij een woning met de Vlaamse schilder Frans van de Kasteele en hij werkte samen met een andere Vlaming, de landschapsschilder Paul Bril, die toen een grote invloed op hem uitoefende. Vanaf 1623 kwam hij echter geheel onder de invloed van de Italiaanse landschappen van de iets oudere Cornelis van Poelenburgh. De werken van beide schilders zijn soms zelfs zeer moeilijk van elkaar te onderscheiden. Op zijn beurt oefende Breenbergh weer invloed uit op de Franse schilder Claude Lorrain. Breenbergh hoorde bij de oprichters van de Bentvueghels, waar hij de bijnaam ""Het Fret"" aannam.  Pas in 1633 keerde Breenbergh terug naar Amsterdam, waar hij tot zijn dood bleef, en waar hij zijn schilderijen en etsen maakte op basis van de tekeningen uit Italië. Hij onderging er nog de invloed van de voorlopers van Rembrandt van Rijn, als Pieter Lastman en Nicolaes Moeyaert, maar hij plaatste hun Bijbelse en mythologische taferelen in Italiaanse landschappen.",male,1598,1657,Deventer,Amsterdam
Quirijn van Brekelenkam,Q2123501,"Quiringh Gerritszoon van Brekelenkam (Zwammerdam ?, na 1622 – Leiden, circa 1669) was een Nederlands kunstschilder.  Over zijn leven is weinig met zekerheid bekend. Omdat zijn zus Aeltgen in Zwammerdam is geboren, wordt aangenomen dat ook Quiringh daar ter wereld is gekomen. Bij een volkstelling in 1622 in Zwammerdam komt de naam Van Brekelenkam niet voor en daarom wordt aangenomen dat hij na dat jaar is geboren. Aeltgen was overigens getrouwd met Johannes van Oudenrogge, een schilder van boeren- en stalinterieurs.  Brekelenkam trouwde op 11 april 1648 met Marie Jans Charle. Het echtpaar kreeg zes kinderen, maar na de geboorte van het laatste kind in 1655 stierf de echtgenote. Op 5 september 1656 hertrouwde Van Brekelenkam met Elisabeth van Beaumont. Zij kregen samen drie kinderen.  De eerste datum die van Brekelenkam bekend is, is 18 maart 1648, de datum waarop hij zich inschreef bij het Sint Lucasgilde in Leiden. In verband met de betalingen van zijn jaargeld aan het gilde wordt hij vermeld van 1648 tot 1650 en van 1658 tot 1667. Doordat zijn werk verwantschap vertoont met dat van de Leidse fijnschilders, wordt het voor mogelijk gehouden dat hij een leerling was van Gerrit Dou.  Het vroegst bekende schilderij van de hand van Brekelenkam dateert uit 1648, het laatst bekende schilderij van zijn hand, De goudweger, dateert uit 1668. Vermoedelijk is hij rond 1669 gestorven.",male,1622,1668,South Holland,Leiden
