Name,Wikidata Identifier,Wikipedia Article,Gender,Place of Birth,Place of Death
Adriaen van Diest,Q1903881,"Adriaen van Diest (1655 – 1704) was a Dutch-born painter who specialised in marine art.  He was born at the Hague in 1655, the son of Jeronymus van Diest, a painter of sea-pieces, by whom he was instructed in the art. When he was seventeen years old he moved to London, where he was employed by Granville, Earl of Bath, for whom he painted several views and ruins in the west of England. He also painted portraits, but did not meet with much encouragement, although his pictures, particularly his landscapes, possess considerable merit; as a proof of which Horace Walpole states that there were seven pictures by Van Diest in Sir Peter Lely's collection. He etched several landscapes from his own designs, in a slight, masterly style. Van Diest died in London in 1704.  Unfortunately for his reputation, he is generally known by his worst pictures, which are frequently found in old houses, on wainscots, or over doors, and are executed in a hasty manner, with much mountainous background.",male,The Hague,London
Marie Duchatel,Q18814456,"Marie Duchatel also known as Maria Du Chastel (1652–1692) was a Flemish painter and miniaturist.  She had an international career which brought her to work at the courts of Denmark and East Frisia. She married the Dutch painter Eglon van der Neer and travelled abroad in his company. She is mainly known for her portraits.  Duchatel was born in Brussels where she was baptized on 20 November 1652. She was the daughter of the Flemish painter François Duchatel and Jeanne Louys.  She was trained in painting by her father.  Around 1675 Duchatel visited the Danish court, where she painted the pendant portraits of King Christian V and his wife Charlotte. Around the same time she visited East Frisia. She was given a jewel by Christine Charlotte of Württemberg, a princess consort of George Christian, Prince of East Frisia. She returned to Brussels in 1677 where she likely met her future husband Eglon van der Neer. The couple married around 1680. Their son Johannes van der Neer became a sculptor and was himself the founder of a dynasty of sculptors which flourished in Antwerp until the 19th century.  Between 1689 and 1691, Duchatel accompanied her husband to Düsseldorf, Germany where he was commissioned to portray the princess Maria Anna of Neuburg. She may have assisted him with the portrait. By the end of her time in Germany she was traveling between Düsseldorf and Neuberg acting on matters for the Spanish Crown.  In his biography of her husband, Weyerman mentioned that he lived in an apartment located underneath hers in ""the St. Joseph boarding house in the Keyserstraat in Antwerp"". Duchatel evidently painted daily and lived apart from her husband.  Duchatel is best known for her miniature portraits. Weyerman commented somewhat disparagingly on her work that she could paint better than she drew.",female,City of Brussels,Antwerp
Gerard Edema,Q5549987,"Gerard Edema or Gerard van Edema (c. 1652, Amsterdam – c. 1700, Richmond, Surrey), was a Dutch landscape-painter who settled in England.  Edema is stated to have been a native of Friesland. He was a pupil of Allart van Everdingen, from whom he learnt to paint landscapes of a wild and savage nature, with a predilection for rocks and waterfalls. He came to England about 1670, in his eighteenth year, and shortly afterwards made an expedition to Norway to collect subjects for his pictures.  These travels he extended to Surinam in Dutch Guiana, the West Indies, the English colonies in America, and Newfoundland. He returned to London with a great number of paintings representing the novel and unknown scenery which he had visited, and their strange and awe-inspiring character earned him the name of ‘the Salvator Rosa of the North.’ He had no difficulty in disposing of any number of them to the merchants whose business was connected with those countries, and his landscapes were eagerly sought after by the nobility. Edema, having no talent for figures and buildings, was usually assisted in this line by Jan Wyck.  Sir Richard Edgcumbe, being anxious to have a series of views of Mount-Edgcumbe painted for his house there, employed Edema, Wyck, and Vandevelde to execute them in concert. They remained some time at Mount-Edgcumbe, and produced several views which still exist. Unfortunately for Edema his prosperity led him into luxurious habits and to an inordinate love of the bottle, which caused his death at Richmond about 1700. Two landscapes by him are at Hampton Court. He was a clever painter, but owed his success to the novelty and interest of his subjects. Some authorities distinguish him from a Nicholas Edema, living at the same time, who visited Surinam for the purpose of painting insects and plants, a line of art which he abandoned for landscape-painting. It seems almost certain that there was only one painter of the name.   This article incorporates text from a publication now in the public domain: ""Edema, Gerard"". Dictionary of National Biography. London: Smith, Elder & Co. 1885–1900.",male,Amsterdam,
Barend van Eijsen,Q16834794,"Barend van Eijsen (fl. 1679 in Haarlem), was a Dutch Golden Age painter and sculptor.  According to the RKD, the painter B. van Eijsen was probably the same person as the sculptor Barent van Eijsen who worked in Haarlem in 1679. He is listed in the 1702 Vincent van der Vinne list as a past and deceased member of the Haarlem Guild of St. Luke.  The painter Sara van Baalbergen married a Barent van Eysen in 1634 in Haarlem, but it is unclear if he represents the same person or a member of the previous generation.  Barend probably was related to P. van Eijse, thought to be identical to Pieter van Eijsen, who was a painter active in Haarlem in the 1660s. Two works attributed to P. van Eijse are vanitas still life paintings in the style of Vincent van der Vinne dated 1661 and 1662, while another formerly attributed to Evert Collier is attributed to him.",male,,
Abraham van der Eyk,Q16186029,"Abraham van der Eyk (1684–1724) was a Dutch painter born in Leiden. His son, Matthijs van der Eyk (1710–1746), was also a painter.  His mother, the eldest daughter of Frans van Mieris the Elder, married the innkeeper Matthijs van der Eyk. Having lost his parents early, his uncle, the painter Willem van Mieris, became his guardian.  This painting evokes through an allegory the quarrel between the Remonstrants and the Conter-Remonstrants. It was created in 1721, a century after the Synod of Dort. It is currently housed at the Museum of Fine Arts of Lyon. On the left side, the Arminians have placed a Bible on the scales along with their statements of faith, each properly validated with a wax seal. On the right, the Calvinists have placed a book labeled 'Calvin' (possibly The Institutes). Resting atop the book is the sword of Maurice of Nassau, Prince of Orange, symbolizing worldly power, which has unjustly tipped the scales in favor of the Calvinists. This alludes to a story from the Roman historian Livy, involving a reported act of the Gallic chief Brennus.",male,Leiden,
Isabella Francken,Q19664874,"Isabella Francken (d. after 1631) was a Flemish painter who was active in the first part of the 17th century. She was a member of the large Francken family of artists. Only a few works are currently attributed to her. These are history, landscape, and genre paintings, which are in the style representative of the Francken family workshop.  Very little is known about the life and training of Isabella Francken. She was the daughter of Hieronymus Francken I. Her father had been a pupil of Frans Floris and had settled in France in 1578.  Isabella Francken was primarily active between 1600-1614 in Paris.  Only two works are currently attributed to Isabella Francken: The Road to Calvary (Sold at Bonhams on 8 July 2009 in London, lot 76) and A Gathering of Witches (Sold at Dorotheum on 2 October 2002 in Vienna, lot 360). Both works are oil on copper paintings.  The Road to Calvary is similar to two groups of paintings by her cousin Frans Francken II of the same subject, which are generally dated either to the first decade of the seventeenth century or to circa 1618.  The composition depicts the meeting between Christ carrying the cross and Saint Veronica who has a cloth to wipe Christ's face.  It is signed and dated lower left: I. FRANCK.F / 1631.  A Gathering of Witches depicts a group of witches in an interior space. It is extremely similar to the compositions of the same subject by her cousins Frans Francken II and Hieronymous Francken II.",female,Paris,
Toussaint Gelton,Q3996918,"Toussaint Gelton (1630 – 1680) was a Dutch painter known for his work buying paintings in 1658 for the Swedish king Charles X Gustav and the family of Swedish noble Magnus Gabriel de la Gardie.  Little is known of his early life but he seems to have been trained in the Hague where he was a member of the Confrerie Pictura from 1655 until 1659.  He is known to have been influenced by and made copies after popular Dutch painters, most notably Gerrit Dou and Cornelis van Poelenburgh. He lived in Stockholm from 1666, and became court painter 23 September 1674 to Christian V, the king of Denmark.  Gelton died in Copenhagen.  This article about a painter is a stub. You can help Wikipedia by expanding it.",male,,Copenhagen
Jan van Glabbeeck,Q26834134,"Jan van Glabbeeck (c. 1635, El Puerto de Santa María – 1686) was a Dutch painter and art dealer.  He was a pupil of Rembrandt and was very active in Amsterdam and Utrecht.",male,Dutch Republic,El Puerto de Santa María
Margaretha van Godewijk,Q1937505,"Margaretha van Godewijk (30 August 1627, Dordrecht – 2 November 1677, Dordrecht), was a Dutch Golden Age poet and painter.  According to Houbraken her father was a teacher at the Latin school in Dordrecht who taught her Greek, Latin, Italian, French and English. She could understand Hebrew, and was clever at making rhymes. She learned to paint from Nicolaes Maes and was skilled at painting landscapes, villas, houses, flowers and all sorts of ships, in oils, watercolours, and embroidery. She was also good at astronomy and making diamond engravings on glass (roemers). Houbraken quoted the Dordrecht writer Mathias Balen (1611–1691), who published a history of Dordrecht that included various famous women.  According to the RKD she was a pupil of Cornelis Bisschop and became a flower painter, but no works survive.",female,Dordrecht,Dordrecht
Maria de Grebber,Q15056344,"Maria de Grebber (1602, Haarlem – 1680, Enkhuizen), was a Dutch Golden Age painter. Grebber was talented at depicting buildings and perspective.  Maria worked in her family workshop and thus did not need professional qualifications to obtain sales.  Maria de Grebber was the daughter of the painter Frans Pietersz de Grebber and the sister of Pieter de Grebber. She belonged to the ancient De Grebber family originally from Waterland. Their father ran a respected workshop in Haarlem in the 1620s, where he taught Judith Leyster and his own children how to paint.  Maria was not the only female painter in Haarlem. The first woman registered in the Haarlem Guild of St. Luke was Sara van Baalbergen in 1631, and Leyster was a member by 1633. Both women were not members of an established artist family in Haarlem, the way Maria was.  She was seven years older than Leyster and, like Leyster and Baalbergen, married an artist, the faience baker Wouter Coenraetsz de Wolff. Her daughter Isabelle de Wolff later married the painter Gabriel Metsu.",female,Haarlem,
Adriaen de Grijef,Q2825057,"Adriaen de Grijef (1657–1722) was an 18th-century painter from the Dutch Republic.  He was born in Leiden, the son of Jacques de Claeuw. He became a member of the Ghent Guild of St. Luke in 1687, and became a member of the Antwerp guild in 1700. He married in Antwerp and afterward moved to Brussels, where he lived and worked until his death in 1722.   Media related to Adriaen de Grijef at Wikimedia Commons",male,Antwerp,City of Brussels
Joris van der Haagen,Q1912387,"Joris Abrahamsz. van der Haagen (c. 1615 – 23 May 1669 (buried)) was a Dutch Golden Age painter specialized in landscapes.  It is unclear where Joris van der Haagen  was born, either in Arnhem or Dordrecht, but archival evidence shows that he started his drawing career in Arnhem. He probably learned to paint from his father, the painter Abraham van der Haagen. When his father died he moved in 1639 to the Hague, where he joined the Guild of St. Luke in 1643. A year later he became honorary citizen of The Hague. In 1656 he was one of the founding members of the Confrerie Pictura, which was located on the Princessegracht in the Hague. The painting he made of the Princessegracht at this time probably shows the original building, which has since been renovated beyond recognition. He is buried at The Hague.  He is known for his landscapes, and especially his views of various cities in the eastern part of the Netherlands. Sometimes he collaborated with other painters, who painted figures in his landscapes. Evidence shows he worked with Dirck Wyntrack, Paulus Potter, Ludolf Leendertsz de Jongh, Jan Wijnants and Nicolaes Berchem.  According to Houbraken he used blue ash to make the color green, and this had faded by 1715, when he saw his paintings in Amsterdam. Despite this problem, the paintings were sold for high prices. He has few paintings in few British institutions the exception being Derby Art Gallery who have a landscape which is ""after"" him.",male,Arnhem,The Hague
Daniël Haringh,Q5219900,"Daniël Haringh (1636–1713) was an 18th-century painter from the Dutch Republic.  He was born and died in Loosduinen. According to the RKD he was a pupil during the years 1664–1669 of Arnold van Ravesteyn and Caspar Netscher, and in 1669 he became a member of the Confrerie Pictura. He is known for portraits and interior decorations. His pupils were Richard van Bleeck, Michiel Godijn, Abraham van Hoogstraten, and Dirk Kindt, or Kint.",male,The Hague,The Hague
Margareta de Heer,Q13136997,"Margaretha de Heer (1603–1665) was a Dutch Golden Age painter.  Margaretha de Heer was born in Leeuwarden in the Dutch Republic in 1603. She was the daughter of the glass painter Arjen Willems de Heer, and the older sister of the artist Gerrit Adriaensz de Heer.  She was taught by her father, who kept a large workshop on the corner of the Herestraat and Oude Oosterstraat in Leeuwarden, and on 21 September 1628 she married the painter Andries Pieters Nyhof or Nieuwhof. She became the aunt of the artist Willem or Guilliam de Heer. She is known for genre works and studies of insects.  In 1636 the Frenchman Charles Ogier, secretary to Cardinal Richelieu visited various studios of artists in the Northern Netherlands, including De Heer and Wybrand de Geest in Leeuwarden, and he wrote in his diary that she was a good painter of birds and insects.  Though she moved a few times to Groningen after her marriage, she kept returning to Leeuwarden and probably died there in 1665. A street in Leeuwarden is named after her.",female,Leeuwarden,Leeuwarden
Maximilian Herregouts,Q112577905,"Maximilian Herregouts (fl. 1674) was a painter from the artist family Herregouts.  Maximilian Herregouts was born in Roermond, Limburg, present-day Netherlands (then Spanish Netherlands). He was the son of David Herregouts and Cecilia Genits. He was thus a brother of fellow painters Hendrik I, Guillaume and Jan Baptist Herregouts. His sister Elisabeth married Mechelen painter Gillis Smeyers.  Two works by Herregouts are known, one entitled Kitchen, in which a woman is busy baking pancakes (1674), dated and signed with his name, and a second entitled Eliezer and Rebecca at the well.",male,,
Gerard Hoet,Q978437,"Gerard Hoet (Dutch: [ˈɣeːrɑrt ˈɦut]; 22 August 1648 – 2 December 1733) was a Dutch Golden Age painter and engraver.  Gerard Hoet trained with his father and brother who were glass painters, and Warnard van Rijsen, who lived in Zaltbommel, and who himself was a pupil of Cornelis van Poelenburgh in Utrecht.  In 1672 Hoet moved to The Hague, but when the Count of Salis bought paintings at his mother's house in Zaltbommel, Hoet returned to paint for him.  Hoet accompanied the Count of Salis to Rees, Germany, where he met the Utrecht painters Jan van Bunnik, Justus Nieuwpoort and Andries de Wit. Hoet returned to Utrecht with De Wit, where he worked for Frederick Nassau de Zuylestein briefly before visiting the Hague and Amsterdam. He then traveled to France on the promise from a Marquis who wanted to give him a commission, but this promise falling through, he made some engravings of paintings by Francisque Millet.  He then wanted to travel to England, but having written to his compatriot Lucas Vorsterman, he received word that there was more work to be had in Paris. Hoet traveled to Paris where he spent more than a year, before returning to the Netherlands via Brussels. In Brussels he met the painter Adriaen Frans Boudewyns, who convinced him to stay a while. After eight months, Hoet returned to Utrecht, where he worked for William Nassau de Zuylestein, 1st Earl of Rochford. He married and settled in Heemstede, where he found work for the lord of the castle there.  Together with the painter Hendrik Schoock, in 1697 he asked the Utrecht city council for permission to found a drawing academy, which was granted. During this period he painted decorations in leading homes of gentlemen in the Utrecht area, most notably the castles of Slangenborg and Voorst near Zutphen, the latter of which he painted for Arnold van Keppel, 1st Earl of Albemarle.  In 1715 he returned to The Hague, where he spent the rest of his life.  He had a business as an art dealer in collaboration with the Flemish painter Jacques Ignatius de Roore who resided in The Hague.  He taught his sons Hendrik Jacob and Gerard, as well as Nicolaes van Ravesteyn (II). His son Gerard Hoet II was an amateur painter and art collector who lived on the Lange Voorhout 62.  Hoet was a source for Houbraken, specifically for his list of the Bentvueghels painters. He wrote a set of additions to Johan van Gool's sequel to Houbraken's ""Schouburg"", insisting that Van Gool was incorrect in many of his biographical sketches. Though Van Gool's book was published in 1650, it was probably readily available to Hoet as an ongoing project in 1719 when Houbraken died, which is why there are prints made by Jacob Houbraken to illustrate the first volume.",male,Zaltbommel,The Hague
